,Date,compund,neg,neu,pos,Open,High,Low,Close,Volume
0,03-Jan-2011,-0.8934,0.172,0.746,0.08199999999999999,226.0,227.0,221.5,223.32,646442
1,04-Jan-2011,-0.6996,0.133,0.8059999999999999,0.06,223.32,229.5,223.32,227.97,1601540
2,05-Jan-2011,-0.9442,0.319,0.638,0.044000000000000004,227.0,232.0,225.6,226.27,2181684
3,06-Jan-2011,-0.7906,0.179,0.726,0.094,227.0,227.65,224.2,226.16,1034935
4,07-Jan-2011,-0.5859,0.14,0.7659999999999999,0.094,227.5,227.99,223.8,225.99,1247251
5,10-Jan-2011,-0.9723,0.272,0.667,0.062,227.5,228.0,223.5,224.44,571792
6,11-Jan-2011,-0.9578,0.225,0.674,0.10099999999999999,225.25,229.29,223.61,228.58,1501995
7,12-Jan-2011,-0.3818,0.125,0.757,0.11800000000000001,229.0,239.85,229.0,238.68,4938671
8,13-Jan-2011,-0.7184,0.121,0.7829999999999999,0.096,240.0,250.48,238.5,248.46,3835913
9,14-Jan-2011,-0.872,0.154,0.7709999999999999,0.07400000000000001,249.25,250.25,242.1,243.35,1974180
10,17-Jan-2011,-0.5994,0.14300000000000002,0.752,0.10400000000000001,245.35,245.35,239.55,244.64,1800665
11,18-Jan-2011,-0.7506,0.16699999999999998,0.7759999999999999,0.057,245.99,246.3,238.0,239.77,1155122
12,19-Jan-2011,-0.765,0.142,0.784,0.07400000000000001,240.03,244.4,238.05,239.32,968551
13,20-Jan-2011,-0.875,0.162,0.787,0.051,240.5,241.89,231.2,232.44,1325614
14,21-Jan-2011,-0.8689,0.124,0.835,0.040999999999999995,234.0,236.5,229.1,230.32,1206090
15,24-Jan-2011,-0.8316,0.134,0.7859999999999999,0.08,231.49,231.98,228.25,228.95,847308
16,25-Jan-2011,-0.6486,0.11,0.812,0.077,229.8,233.7,229.76,232.4,910505
17,26-Jan-2011,-0.9201,0.203,0.755,0.042,233.35,235.48,232.5,233.25,787194
18,27-Jan-2011,-0.9172,0.193,0.774,0.032,233.25,235.15,231.3,231.82,421245
19,28-Jan-2011,-0.9359999999999999,0.209,0.735,0.055999999999999994,232.8,235.4,231.4,233.43,789486
20,31-Jan-2011,-0.9153,0.16399999999999998,0.7390000000000001,0.09699999999999999,236.0,237.6,225.0,226.78,2396614
21,01-Feb-2011,-0.9628,0.16699999999999998,0.769,0.064,227.25,229.15,221.5,223.51,1263326
22,02-Feb-2011,-0.9744,0.23800000000000002,0.715,0.046,224.6,225.99,222.0,224.06,538453
23,03-Feb-2011,-0.9568,0.191,0.768,0.040999999999999995,225.6,229.75,224.05,229.1,540318
24,04-Feb-2011,-0.9590000000000001,0.18100000000000002,0.792,0.027999999999999997,229.1,231.25,227.8,229.83,825484
25,07-Feb-2011,-0.9128,0.198,0.7340000000000001,0.067,230.6,230.7,228.0,228.28,255302
26,08-Feb-2011,-0.9081,0.135,0.81,0.055,228.91,229.09,224.75,224.97,613089
27,09-Feb-2011,-0.9823,0.27899999999999997,0.6579999999999999,0.062,225.1,225.1,222.04,222.58,335173
28,10-Feb-2011,-0.9531,0.18100000000000002,0.777,0.040999999999999995,222.58,223.5,213.5,214.88,1140101
29,11-Feb-2011,-0.93,0.22699999999999998,0.679,0.095,215.0,216.18,206.5,207.65,1069551
30,14-Feb-2011,-0.8074,0.16,0.7120000000000001,0.128,207.61,211.0,207.1,209.87,558722
31,15-Feb-2011,-0.9658,0.14800000000000002,0.8140000000000001,0.038,210.1,215.9,210.1,213.99,688506
32,17-Feb-2011,-0.9802,0.19699999999999998,0.8029999999999999,0.0,214.11,216.4,213.55,214.83,433580
33,18-Feb-2011,-0.29600000000000004,0.085,0.855,0.06,215.6,216.2,213.25,215.38,336472
34,21-Feb-2011,-0.9413,0.133,0.8240000000000001,0.043,215.5,216.0,211.33,212.31,206028
35,22-Feb-2011,-0.4019,0.10800000000000001,0.792,0.1,212.05,213.5,206.0,208.74,972662
36,23-Feb-2011,-0.9118,0.14800000000000002,0.784,0.068,209.11,209.49,205.55,206.14,564422
37,24-Feb-2011,-0.9836,0.23,0.701,0.07,207.3,208.9,205.03,206.19,459962
38,25-Feb-2011,-0.9489,0.172,0.7559999999999999,0.07200000000000001,206.19,206.7,195.89,200.08,1584615
39,28-Feb-2011,-0.9601,0.129,0.846,0.025,199.0,205.25,195.55,202.95,803247
40,01-Mar-2011,-0.9287,0.17800000000000002,0.6990000000000001,0.12300000000000001,204.8,213.09,203.5,212.8,1467909
41,02-Mar-2011,-0.8169,0.129,0.778,0.09300000000000001,214.22,216.0,210.6,213.98,1470936
42,03-Mar-2011,-0.9732,0.18899999999999997,0.74,0.071,212.61,214.49,210.9,213.32,1073603
43,04-Mar-2011,-0.9590000000000001,0.213,0.691,0.095,213.49,219.4,212.5,216.48,1830120
44,07-Mar-2011,-0.9747,0.2,0.7440000000000001,0.055999999999999994,218.0,225.65,216.5,221.63,2386039
45,08-Mar-2011,-0.9911,0.27899999999999997,0.6559999999999999,0.065,222.0,223.4,219.11,222.57,753501
46,09-Mar-2011,-0.9774,0.225,0.7340000000000001,0.040999999999999995,224.5,228.45,224.0,227.42,1598383
47,10-Mar-2011,-0.9661,0.172,0.777,0.05,228.6,230.8,226.1,227.41,1585923
48,11-Mar-2011,-0.6597,0.17,0.716,0.115,227.01,227.01,223.61,225.2,367215
49,14-Mar-2011,-0.8729,0.174,0.708,0.11800000000000001,226.0,228.4,225.17,225.77,513243
50,15-Mar-2011,-0.9871,0.28300000000000003,0.6990000000000001,0.018000000000000002,226.2,226.5,218.52,219.61,590052
51,16-Mar-2011,-0.9882,0.222,0.778,0.0,221.49,223.99,213.62,216.48,871181
52,17-Mar-2011,-0.8979,0.162,0.743,0.094,219.0,220.05,216.34,218.16,955119
53,18-Mar-2011,-0.9825,0.264,0.6659999999999999,0.07,218.25,222.8,214.01,216.23,1269219
54,21-Mar-2011,-0.9940000000000001,0.255,0.716,0.028999999999999998,194.99,195.0,192.2,192.72,256276
55,22-Mar-2011,-0.9677,0.248,0.6759999999999999,0.076,194.05,197.4,193.2,194.34,733299
56,24-Mar-2011,-0.9598,0.19899999999999998,0.743,0.057999999999999996,195.0,196.0,194.6,194.88,373019
57,25-Mar-2011,-0.9885,0.24100000000000002,0.7090000000000001,0.05,195.8,196.4,195.0,195.66,462710
58,28-Mar-2011,-0.6555,0.114,0.797,0.09,195.5,199.65,195.5,197.03,537171
59,29-Mar-2011,-0.9313,0.185,0.716,0.099,197.99,202.0,197.8,201.38,809827
60,30-Mar-2011,0.9555,0.0,0.76,0.24,202.6,206.25,202.0,205.71,651624
61,31-Mar-2011,-0.9936,0.243,0.7040000000000001,0.053,206.77,208.5,205.7,207.54,853056
62,01-Apr-2011,-0.9702,0.2,0.698,0.102,207.7,209.0,206.55,208.53,744042
63,04-Apr-2011,-0.8688,0.12300000000000001,0.8390000000000001,0.037000000000000005,208.5,210.1,207.11,207.35,1021047
64,05-Apr-2011,0.8074,0.096,0.7290000000000001,0.175,207.99,208.01,206.02,207.8,611270
65,06-Apr-2011,-0.8997,0.161,0.741,0.099,207.99,209.02,206.25,206.63,756120
66,07-Apr-2011,-0.9915,0.336,0.664,0.0,206.98,207.15,204.5,205.2,293238
67,08-Apr-2011,-0.9756,0.179,0.792,0.028999999999999998,205.0,208.45,205.0,207.99,400176
68,11-Apr-2011,-0.9477,0.156,0.802,0.042,208.0,208.2,205.9,206.54,167801
69,12-Apr-2011,-0.8296,0.131,0.782,0.087,206.89,207.0,204.9,205.42,122821
70,13-Apr-2011,-0.9584,0.209,0.73,0.061,206.4,206.4,203.0,204.71,129128
71,14-Apr-2011,-0.9786,0.21,0.733,0.055999999999999994,204.95,206.5,203.15,203.61,116451
72,15-Apr-2011,-0.3612,0.085,0.8340000000000001,0.081,204.0,204.5,200.5,202.07,240930
73,18-Apr-2011,-0.9274,0.151,0.768,0.081,202.5,203.84,201.25,201.72,164326
74,19-Apr-2011,-0.5423,0.10300000000000001,0.8059999999999999,0.091,201.0,201.07,197.11,197.67,241711
75,20-Apr-2011,-0.8591,0.16,0.727,0.113,198.29,201.25,197.31,200.53,223046
76,21-Apr-2011,0.7783,0.078,0.777,0.145,200.25,203.89,198.25,202.33,339109
77,22-Apr-2011,0.1511,0.113,0.752,0.134,203.0,205.37,202.3,204.28,386833
78,25-Apr-2011,-0.9657,0.203,0.725,0.071,203.95,204.94,202.65,202.93,104619
79,26-Apr-2011,-0.8591,0.155,0.772,0.073,202.56,207.89,202.01,206.88,715325
80,27-Apr-2011,-0.7096,0.09300000000000001,0.855,0.052000000000000005,208.0,208.05,205.65,206.24,508085
81,28-Apr-2011,-0.9349,0.203,0.6809999999999999,0.11599999999999999,206.0,206.7,204.0,204.69,188693
82,29-Apr-2011,-0.9426,0.247,0.633,0.11900000000000001,205.0,208.0,204.8,207.05,619566
83,02-May-2011,-0.9805,0.21899999999999997,0.711,0.07,207.9,208.01,205.11,205.49,261812
84,03-May-2011,-0.8126,0.131,0.7879999999999999,0.081,206.0,207.1,202.26,203.36,199834
85,04-May-2011,-0.9931,0.282,0.6609999999999999,0.055999999999999994,203.99,204.9,196.51,198.55,441453
86,05-May-2011,-0.9509,0.196,0.777,0.027000000000000003,199.01,204.45,199.0,203.01,372247
87,06-May-2011,-0.9837,0.324,0.6609999999999999,0.015,202.01,204.0,200.3,202.72,377051
88,09-May-2011,-0.4767,0.147,0.732,0.121,203.25,205.8,202.51,205.03,449833
89,10-May-2011,-0.9477,0.18100000000000002,0.775,0.045,205.8,206.88,204.8,205.93,191127
90,11-May-2011,-0.7059,0.11199999999999999,0.815,0.073,205.99,207.2,204.5,205.44,216078
91,12-May-2011,-0.9690000000000001,0.17600000000000002,0.774,0.05,205.01,205.01,203.02,204.52,98190
92,13-May-2011,-0.9814,0.217,0.747,0.036000000000000004,204.75,205.89,203.55,204.8,113230
93,16-May-2011,-0.9485,0.192,0.737,0.071,204.1,204.7,202.5,203.77,141631
94,17-May-2011,-0.6597,0.146,0.748,0.106,204.55,205.7,204.11,204.42,118444
95,18-May-2011,-0.9517,0.258,0.633,0.109,205.0,205.45,203.95,205.06,241489
96,19-May-2011,-0.9869,0.14800000000000002,0.802,0.05,205.07,206.4,204.7,206.06,312800
97,20-May-2011,-0.8225,0.149,0.727,0.124,206.0,208.0,205.2,207.79,534913
98,23-May-2011,-0.8432,0.147,0.7390000000000001,0.114,207.79,208.9,205.35,207.73,1019629
99,24-May-2011,-0.8779,0.12,0.8109999999999999,0.069,208.0,208.99,207.05,208.01,221974
100,25-May-2011,-0.9201,0.11800000000000001,0.8079999999999999,0.07400000000000001,208.3,209.4,207.0,208.3,439176
101,26-May-2011,-0.765,0.11599999999999999,0.823,0.062,208.6,210.85,208.16,210.04,787418
102,27-May-2011,-0.9791,0.18100000000000002,0.7609999999999999,0.059000000000000004,210.0,210.95,208.75,210.57,266573
103,30-May-2011,-0.8184,0.094,0.87,0.036000000000000004,210.01,210.69,208.06,208.56,80996
104,31-May-2011,-0.9638,0.14800000000000002,0.779,0.073,207.31,209.25,207.01,207.97,393197
105,01-Jun-2011,-0.9928,0.32,0.61,0.07,205.59,206.75,202.15,203.53,702191
106,02-Jun-2011,-0.9888,0.2,0.7340000000000001,0.066,203.0,203.79,200.5,201.07,512062
107,03-Jun-2011,-0.9936,0.32,0.68,0.0,201.5,201.74,199.75,200.2,350203
108,06-Jun-2011,-0.9814,0.16699999999999998,0.802,0.031,199.6,205.75,199.0,204.01,797945
109,07-Jun-2011,-0.9922,0.203,0.7709999999999999,0.027000000000000003,203.75,207.7,203.25,206.52,590241
110,08-Jun-2011,-0.9686,0.187,0.795,0.018000000000000002,207.0,209.4,206.15,208.1,673556
111,09-Jun-2011,-0.9744,0.192,0.748,0.06,208.5,208.85,205.11,205.54,165653
112,10-Jun-2011,-0.9643,0.183,0.738,0.08,206.25,206.44,205.41,205.64,83827
113,13-Jun-2011,-0.9855,0.20800000000000002,0.762,0.03,206.6,206.7,203.0,203.66,107803
114,14-Jun-2011,-0.9122,0.136,0.815,0.05,203.98,205.65,203.6,204.26,97645
115,15-Jun-2011,-0.9906,0.316,0.6629999999999999,0.021,205.0,205.25,203.5,203.93,98971
116,16-Jun-2011,-0.9857,0.223,0.726,0.051,204.0,206.25,203.0,205.11,240650
117,17-Jun-2011,-0.9583,0.162,0.7959999999999999,0.042,205.1,206.02,203.15,203.35,314769
118,20-Jun-2011,-0.9872,0.268,0.69,0.042,203.75,203.75,199.0,199.62,277436
119,21-Jun-2011,-0.875,0.19399999999999998,0.71,0.096,200.0,203.3,198.5,202.44,224931
120,22-Jun-2011,-0.9764,0.21100000000000002,0.6990000000000001,0.09,202.97,205.24,201.0,202.71,517941
